# Shared library to Debian package mappings for validate-media-runtime.sh.
# Format: SONAME<TAB>package_name
# Lines starting with # are comments. Blank lines are ignored.

libxml2.so.2	libxml2
libevent_core-2.1.so.7	libevent-core-2.1-7t64
libevent_pthreads-2.1.so.7	libevent-pthreads-2.1-7t64
libevent_extra-2.1.so.7	libevent-extra-2.1-7t64
libevent_openssl-2.1.so.7	libevent-openssl-2.1-7t64
liblzma.so.5	liblzma5
libbz2.so.1.0	libbz2-1.0
libzstd.so.1	libzstd1
libreadline.so.8	libreadline8t64
libncursesw.so.6	libncursesw6
libtinfo.so.6	libtinfo6
libpanelw.so.6	libpanelw6
libgdbm.so.6	libgdbm6t64
libgdbm_compat.so.4	libgdbm-compat4t64
libexpat.so.1	libexpat1
libffi.so.8	libffi8
libsqlite3.so.0	libsqlite3-0
libssl.so.3	libssl3t64
libcrypto.so.3	libssl3t64
libgmp.so.10	libgmp10
libhogweed.so.6	libhogweed6t64
libnettle.so.8	libnettle8t64
libgnutls.so.30	libgnutls30t64
libp11-kit.so.0	libp11-kit0
libidn2.so.0	libidn2-0
libunistring.so.5	libunistring5
libtasn1.so.6	libtasn1-6
libjpeg.so.8	libjpeg-turbo8
libpng16.so.16	libpng16-16t64
libtiff.so.6	libtiff6
libwebp.so.7	libwebp7
libvpx.so.9	libvpx9
libx264.so.164	libx264-164
libx265.so.209	libx265-209
libaom.so.3	libaom3
libdav1d.so.7	libdav1d7
libopenjp2.so.7	libopenjp2-7
libdeflate.so.0	libdeflate0
libjbig.so.0	libjbig0
libLerc.so.4	liblerc4
libtheora.so.0	libtheora0
libtheoradec.so.1	libtheora0
libtheoraenc.so.1	libtheora0
libogg.so.0	libogg0
libvorbis.so.0	libvorbis0a
libvorbisenc.so.2	libvorbisenc2
libFLAC.so.14	libflac14
libFLAC++.so.10	libflac++10
libmp3lame.so.0	libmp3lame0
libmpg123.so.0	libmpg123-0t64
libopus.so.0	libopus0
libspeex.so.1	libspeex1
libspeexdsp.so.1	libspeexdsp1
libwavpack.so.1	libwavpack1
libgsm.so.1	libgsm1
libtwolame.so.0	libtwolame0
libopenh264.so.7	libopenh264-7
libsrtp2.so.1	libsrtp2-1
libsoup-3.0.so.0	libsoup-3.0-0
libsoup-2.4.so.1	libsoup-2.4-1
libcurl.so.4	libcurl4t64
libcurl-gnutls.so.4	libcurl3t64-gnutls
libnghttp2.so.14	libnghttp2-14
librtmp.so.1	librtmp1
libssh2.so.1	libssh2-1t64
libpsl.so.5	libpsl5t64
libbrotlidec.so.1	libbrotli1
libbrotlienc.so.1	libbrotli1
libbrotlicommon.so.1	libbrotli1
libasound.so.2	libasound2t64
libpulse.so.0	libpulse0
libpipewire-0.3.so.0	libpipewire-0.3-0t64
libjack.so.0	libjack0
libsndfile.so.1	libsndfile1
libsamplerate.so.0	libsamplerate0
libv4l2.so.0	libv4l-0
libudev.so.1	libudev1
libusb-1.0.so.0	libusb-1.0-0
libboost_program_options.so.1.83.0	libboost-program-options1.83.0
libboost_program_options.so.1.74.0	libboost-program-options1.74.0
libyaml-0.so.2	libyaml-0-2
libdw.so.1	libdw1t64
libunwind.so.8	libunwind8
libunwind-x86_64.so.8	libunwind8
libunwind-aarch64.so.8	libunwind8
libunwind-riscv.so.8	libunwind8
libva.so.2	libva2
libva-drm.so.2	libva-drm2
libva-x11.so.2	libva-x11-2
libdrm.so.2	libdrm2
libgbm.so.1	libgbm1
libepoxy.so.0	libepoxy0
libGL.so.1	libgl1
libEGL.so.1	libegl1
libGLESv2.so.2	libgles2
libwayland-client.so.0	libwayland-client0
